Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\N_Ss_Plate4.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-10-06 16:52:39 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
F3,Fe_T2_R1_Ss_S2-16,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
F3,Fe_T2_R1_Ss_S2-16,D,UNKNOWN,FAM,NFQ-MGB,30.2984790802,30.4929618835,0.2750402093,,,,1,0.02,1,3,28,,N,Y,Y
F4,Fe_T2_R1_Ss_S2-25,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,Y,Y,Y
F4,Fe_T2_R1_Ss_S2-25,D,UNKNOWN,FAM,NFQ-MGB,30.3809394836,29.9487361908,0.6112277508,,,,1,0.02,1,3,28,,Y,Y,Y
F5,Fe_T2_R1_Ss_S3-6,C,UNKNOWN,VIC,NFQ-MGB,33.6741828918,33.5204925537,0.2173536569,,,,1,0.02,1,3,32,,N,Y,Y
F5,Fe_T2_R1_Ss_S3-6,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
F6,Fe_T2_R1_Ss_S3-12,C,UNKNOWN,VIC,NFQ-MGB,34.4381980896,35.4505310059,1.4316549301,,,,1,0.02,1,3,33,,Y,N,N
F6,Fe_T2_R1_Ss_S3-12,D,UNKNOWN,FAM,NFQ-MGB,33.4731903076,33.4731903076,,,,,1,0.02,1,3,32,,Y,N,N
F7,Fe_T2_R1_Ss_S4-9,C,UNKNOWN,VIC,NFQ-MGB,26.6506004333,26.5050048828,0.2059032023,,,,1,0.02,1,3,25,,Y,N,N
F7,Fe_T2_R1_Ss_S4-9,D,UNKNOWN,FAM,NFQ-MGB,31.7340698242,30.9775276184,1.0699121952,,,,1,0.02,1,3,30,,Y,N,N
