Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\N_Ssid_Plate20.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-10-22 14:30:25 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C?? Mean,C?? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
G6,N_T1_R2_Ss_S4-7,C,UNKNOWN,VIC,NFQ-MGB,26.4861373901,26.36369133,0.1731648743,,,,1,0.02,1,3,25,,N,N,N
G6,N_T1_R2_Ss_S4-7,D,UNKNOWN,FAM,NFQ-MGB,27.6050376892,27.7030296326,0.1385815293,,,,1,0.02,1,3,26,,N,N,N
G7,CO2_T0_R1_Ss_S5-4,C,UNKNOWN,VIC,NFQ-MGB,35.6423683167,36.1915130615,0.7766052485,,,,1,0.02,1,3,34,,Y,N,N
G7,CO2_T0_R1_Ss_S5-4,D,UNKNOWN,FAM,NFQ-MGB,25.249124527,25.5638999939,0.4451610744,,,,1,0.02,1,3,23,,Y,N,N
G8,CO2_T0_R1_Ss_S5-4,C,UNKNOWN,VIC,NFQ-MGB,36.7406539917,36.1915130615,0.7766052485,,,,1,0.02,1,3,35,,Y,N,N
G8,CO2_T0_R1_Ss_S5-4,D,UNKNOWN,FAM,NFQ-MGB,25.8786773682,25.5638999939,0.4451610744,,,,1,0.02,1,3,24,,Y,N,N
G9,CO2_T0_R1_Ss_S5-4,Ssid,UNKNOWN,FAM,NFQ-MGB,21.3943119049,21.2383766174,0.2205244452,,,,1,0.02,1,3,18,,N,N,N
G10,CO2_T0_R1_Ss_S5-4,Ssid,UNKNOWN,FAM,NFQ-MGB,21.0824432373,21.2383766174,0.2205244452,,,,1,0.02,1,3,19,,N,N,N
G11,CO2_T0_R1_Ss_S5-4,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
G12,CO2_T0_R1_Ss_S5-4,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
H1,N_T1_R2_Ss_S4-22,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
H2,N_T1_R2_Ss_S4-22,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
H3,N_T1_R2_Ss_S4-22,Ssid,UNKNOWN,FAM,NFQ-MGB,23.5409927368,23.4531841278,0.1241801232,,,,1,0.02,1,3,21,,N,N,N
H4,N_T1_R2_Ss_S4-22,Ssid,UNKNOWN,FAM,NFQ-MGB,23.3653755188,23.4531841278,0.1241801232,,,,1,0.02,1,3,21,,N,N,N
H5,N_T1_R2_Ss_S4-22,C,UNKNOWN,VIC,NFQ-MGB,26.4795742035,26.4045639038,0.1060819328,,,,1,0.02,1,3,25,,N,N,N
H5,N_T1_R2_Ss_S4-22,D,UNKNOWN,FAM,NFQ-MGB,28.321767807,28.1746692657,0.2080287486,,,,1,0.02,1,3,27,,N,N,N
H6,N_T1_R2_Ss_S4-22,C,UNKNOWN,VIC,NFQ-MGB,26.3295516968,26.4045639038,0.1060819328,,,,1,0.02,1,3,25,,N,N,N
H6,N_T1_R2_Ss_S4-22,D,UNKNOWN,FAM,NFQ-MGB,28.0275707245,28.1746692657,0.2080287486,,,,1,0.02,1,3,26,,N,N,N
H7,N_T1_R2_Ss_S0-NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
H7,N_T1_R2_Ss_S0-NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
H8,N_T1_R2_Ss_S0-NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
H8,N_T1_R2_Ss_S0-NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
H9,N_T1_R2_Ss_S0-NTC,Ssid,UNKNOWN,FAM,NFQ-MGB,31.9520702362,31.9520702362,,,,,1,0.02,1,3,30,,N,N,N
H10,N_T1_R2_Ss_S0-NTC,Ssid,UNKNOWN,FAM,NFQ-MGB,Undetermined,31.9520702362,,,,,1,0.02,1,3,39,,N,N,Y
H11,N_T1_R2_Ss_S0-NTC,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
H12,N_T1_R2_Ss_S0-NTC,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
