Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\N_Ssid_Plate14.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-10-19 15:26:41 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C?? Mean,C?? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
E1,C_T0_R2_Ss_S3-4,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
E2,C_T0_R2_Ss_S3-4,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
E3,C_T0_R2_Ss_S3-4,Ssid,UNKNOWN,FAM,NFQ-MGB,22.2995853424,22.0575466156,0.3422944546,,,,0,0.02,1,3,20,,N,N,N
E4,C_T0_R2_Ss_S3-4,Ssid,UNKNOWN,FAM,NFQ-MGB,21.8155078888,22.0575466156,0.3422944546,,,,0,0.02,1,3,20,,N,N,N
E5,C_T0_R2_Ss_S3-4,C,UNKNOWN,VIC,NFQ-MGB,27.0119152069,26.9042701721,0.1522330642,,,,0,0.02,1,3,25,,N,N,N
E5,C_T0_R2_Ss_S3-4,D,UNKNOWN,FAM,NFQ-MGB,25.742773056,25.5382232666,0.2892784476,,,,0,0.02,1,3,24,,N,N,N
E6,C_T0_R2_Ss_S3-4,C,UNKNOWN,VIC,NFQ-MGB,26.7966251373,26.9042701721,0.1522330642,,,,0,0.02,1,3,25,,N,N,N
E6,C_T0_R2_Ss_S3-4,D,UNKNOWN,FAM,NFQ-MGB,25.3336715698,25.5382232666,0.2892784476,,,,0,0.02,1,3,23,,N,N,N
E7,C_T1_R1_Ss_S1-10,C,UNKNOWN,VIC,NFQ-MGB,28.0725955963,27.8047122955,0.3788442016,,,,0,0.02,1,3,26,,N,N,N
E7,C_T1_R1_Ss_S1-10,D,UNKNOWN,FAM,NFQ-MGB,28.1049213409,27.8321647644,0.3857373893,,,,0,0.02,1,3,26,,N,N,N
E8,C_T1_R1_Ss_S1-10,C,UNKNOWN,VIC,NFQ-MGB,27.5368289948,27.8047122955,0.3788442016,,,,0,0.02,1,3,26,,N,N,N
E8,C_T1_R1_Ss_S1-10,D,UNKNOWN,FAM,NFQ-MGB,27.5594062805,27.8321647644,0.3857373893,,,,0,0.02,1,3,26,,N,N,N
E9,C_T1_R1_Ss_S1-10,Ssid,UNKNOWN,FAM,NFQ-MGB,20.5716648102,20.7060451508,0.1900424957,,,,0,0.02,1,3,17,,N,N,N
E10,C_T1_R1_Ss_S1-10,Ssid,UNKNOWN,FAM,NFQ-MGB,20.8404254913,20.7060451508,0.1900424957,,,,0,0.02,1,3,18,,N,N,N
E11,C_T1_R1_Ss_S1-10,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
E12,C_T1_R1_Ss_S1-10,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
F1,C_T0_R2_Ss_S3-20,B,UNKNOWN,FAM,NFQ-MGB,39.5869903564,39.5869903564,,,,,0,0.02,1,3,35,,N,N,N
F2,C_T0_R2_Ss_S3-20,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.5869903564,,,,,0,0.02,1,3,39,,N,Y,Y
F3,C_T0_R2_Ss_S3-20,Ssid,UNKNOWN,FAM,NFQ-MGB,22.4923591614,22.3308105469,0.2284642458,,,,0,0.02,1,3,19,,N,N,N
